"","nc","delta1","delta2","pow","ess"
"184",10,0.1,0.14,0.9,49.7396104368422
"185",10,0.1,0.16,0.9,49.4272354673579
"186",10,0.1,0.18,0.9,48.8638926780473
"187",10,0.1,0.2,0,47.9295359507794
"188",10,0.12,0,1,49.9999957573528
"189",10,0.12,0.02,1,49.9999983347234
"190",10,0.12,0.04,1,49.9998829098951
"191",10,0.12,0.06,1,49.9985224054453
"192",10,0.12,0.08,0.9,49.9912130676034
"193",10,0.12,0.1,0.6,49.965578661786
"194",10,0.12,0.12,0,49.8963617262153
"195",10,0.12,0.14,0.7,49.7396104368422
"196",10,0.12,0.16,0.8,49.4272354673579
"197",10,0.12,0.18,0.9,48.8638926780473
"198",10,0.12,0.2,1,47.9295359507794
"199",10,0.14,0,1,49.9999957573528
"200",10,0.14,0.02,1,49.9999983347234
"201",10,0.14,0.04,1,49.9998829098951
"202",10,0.14,0.06,1,49.9985224054453
"203",10,0.14,0.08,1,49.9912130676034
"204",10,0.14,0.1,1,49.965578661786
"205",10,0.14,0.12,0.8,49.8963617262153
"206",10,0.14,0.14,0,49.7396104368422
"207",10,0.14,0.16,0.4,49.4272354673579
"208",10,0.14,0.18,1,48.8638926780473
"209",10,0.14,0.2,0.9,47.9295359507794
"210",10,0.16,0,1,49.9999957573528
"211",10,0.16,0.02,1,49.9999983347234
"212",10,0.16,0.04,1,49.9998829098951
"213",10,0.16,0.06,1,49.9985224054453
"214",10,0.16,0.08,1,49.9912130676034
"215",10,0.16,0.1,1,49.965578661786
"216",10,0.16,0.12,1,49.8963617262153
"217",10,0.16,0.14,0.9,49.7396104368422
"218",10,0.16,0.16,0,49.4272354673579
"219",10,0.16,0.18,0.2,48.8638926780473
"220",10,0.16,0.2,1,47.9295359507794
"221",10,0.18,0,1,49.9999957573528
"222",10,0.18,0.02,1,49.9999983347234
"223",10,0.18,0.04,1,49.9998829098951
"224",10,0.18,0.06,1,49.9985224054453
"225",10,0.18,0.08,1,49.9912130676034
"226",10,0.18,0.1,1,49.965578661786
"227",10,0.18,0.12,1,49.8963617262153
"228",10,0.18,0.14,1,49.7396104368422
"229",10,0.18,0.16,1,49.4272354673579
"230",10,0.18,0.18,0.1,48.8638926780473
"231",10,0.18,0.2,0,47.9295359507794
"232",10,0.2,0,1,49.9999957573528
"233",10,0.2,0.02,1,49.9999983347234
"234",10,0.2,0.04,1,49.9998829098951
"235",10,0.2,0.06,1,49.9985224054453
"236",10,0.2,0.08,1,49.9912130676034
"237",10,0.2,0.1,1,49.965578661786
"238",10,0.2,0.12,1,49.8963617262153
"239",10,0.2,0.14,1,49.7396104368422
"240",10,0.2,0.16,0.9,49.4272354673579
"241",10,0.2,0.18,1,48.8638926780473
"242",10,0.2,0.2,0.3,47.9295359507794
"243",15,0,0,1,49.9999703849703
"244",15,0,0.02,1,49.9999103196186
"245",15,0,0.04,0.9,49.9980783611083
"246",15,0,0.06,0.9,49.9858200801184
"247",15,0,0.08,0.5,49.9390424965179
"248",15,0,0.1,0.1,49.8099860782873
"249",15,0,0.12,0.8,49.5206740101191
"250",15,0,0.14,1,48.9603948696501
"251",15,0,0.16,1,47.9913300451648
"252",15,0,0.18,0.6,46.4673190262653
"253",15,0,0.2,1,44.2682474663085
"254",15,0.02,0,0.1,49.9999703849703
"255",15,0.02,0.02,0.9,49.9999103196186
"256",15,0.02,0.04,0.9,49.9980783611083
"257",15,0.02,0.06,0.9,49.9858200801184
"258",15,0.02,0.08,0.8,49.9390424965179
"259",15,0.02,0.1,0.9,49.8099860782873
"260",15,0.02,0.12,0,49.5206740101191
"261",15,0.02,0.14,0.3,48.9603948696501
"262",15,0.02,0.16,0.8,47.9913300451648
"263",15,0.02,0.18,0.9,46.4673190262653
"264",15,0.02,0.2,0.9,44.2682474663085
"265",15,0.04,0,0.7,49.9999703849703
"266",15,0.04,0.02,0,49.9999103196186
"267",15,0.04,0.04,0.6,49.9980783611083
"268",15,0.04,0.06,0.9,49.9858200801184
"269",15,0.04,0.08,0.9,49.9390424965179
"270",15,0.04,0.1,0.9,49.8099860782873
"271",15,0.04,0.12,0.9,49.5206740101191
"272",15,0.04,0.14,0.1,48.9603948696501
"273",15,0.04,0.16,0.1,47.9913300451648
"274",15,0.04,0.18,0.8,46.4673190262653
"275",15,0.04,0.2,1,44.2682474663085
"276",15,0.06,0,1,49.9999703849703
"277",15,0.06,0.02,1,49.9999103196186
"278",15,0.06,0.04,0.3,49.9980783611083
"279",15,0.06,0.06,0.2,49.9858200801184
"280",15,0.06,0.08,0.9,49.9390424965179
"281",15,0.06,0.1,0.9,49.8099860782873
"282",15,0.06,0.12,0.8,49.5206740101191
"283",15,0.06,0.14,0.9,48.9603948696501
"284",15,0.06,0.16,0.3,47.9913300451648
"285",15,0.06,0.18,0,46.4673190262653
"286",15,0.06,0.2,0.3,44.2682474663085
