"","nc","delta1","delta2","pow2","pow1","ess"
"197",10,0.12,0.18,0.951787,0.74,102.08918642054
"198",10,0.12,0.2,0.98048,0.86,102.074758686755
"199",10,0.14,0,0.995327,1,102.112309904202
"200",10,0.14,0.02,0.984929,0.92,102.380517021117
"201",10,0.14,0.04,0.958497,0.74,102.075726256055
"202",10,0.14,0.06,0.903561,0.55,102.239415252242
"203",10,0.14,0.08,0.829456,0.31,102.454136670376
"204",10,0.14,0.1,0.768702,0.09,102.445787644859
"205",10,0.14,0.12,0.735155,0.04,102.096719013108
"206",10,0.14,0.14,0.760753,0.1,102.111945876748
"207",10,0.14,0.16,0.816143,0.24,101.685651714713
"208",10,0.14,0.18,0.889201,0.51,102.08918642054
"209",10,0.14,0.2,0.947297,0.71,102.074758686755
"210",10,0.16,0,0.998864,1,102.112309904202
"211",10,0.16,0.02,0.995948,1,102.380517021117
"212",10,0.16,0.04,0.986601,0.93,102.075726256055
"213",10,0.16,0.06,0.962116,0.75,102.239415252242
"214",10,0.16,0.08,0.909906,0.56,102.454136670376
"215",10,0.16,0.1,0.837031,0.33,102.445787644859
"216",10,0.16,0.12,0.773095,0.13,102.096719013108
"217",10,0.16,0.14,0.735179,0.03,102.111945876748
"218",10,0.16,0.16,0.756522,0.09,101.685651714713
"219",10,0.16,0.18,0.807331,0.24,102.08918642054
"220",10,0.16,0.2,0.881749,0.45,102.074758686755
"221",10,0.18,0,0.99976,1,102.112309904202
"222",10,0.18,0.02,0.999001,1,102.380517021117
"223",10,0.18,0.04,0.996396,1,102.075726256055
"224",10,0.18,0.06,0.987968,0.93,102.239415252242
"225",10,0.18,0.08,0.965693,0.76,102.454136670376
"226",10,0.18,0.1,0.916459,0.57,102.445787644859
"227",10,0.18,0.12,0.845011,0.33,102.096719013108
"228",10,0.18,0.14,0.777909,0.14,102.111945876748
"229",10,0.18,0.16,0.737949,0.04,101.685651714713
"230",10,0.18,0.18,0.752108,0.09,102.08918642054
"231",10,0.18,0.2,0.799821,0.24,102.074758686755
"232",10,0.2,0,0.999943,1,102.112309904202
"233",10,0.2,0.02,0.999796,1,102.380517021117
"234",10,0.2,0.04,0.99911,1,102.075726256055
"235",10,0.2,0.06,0.996833,1,102.239415252242
"236",10,0.2,0.08,0.989164,0.94,102.454136670376
"237",10,0.2,0.1,0.968793,0.79,102.445787644859
"238",10,0.2,0.12,0.922754,0.6,102.096719013108
"239",10,0.2,0.14,0.852547,0.36,102.111945876748
"240",10,0.2,0.16,0.782644,0.15,101.685651714713
"241",10,0.2,0.18,0.741632,0.05,102.08918642054
"242",10,0.2,0.2,0.747597,0.08,102.074758686755
"243",15,0,0,0.792226,0.25,106.971946002596
"244",15,0,0.02,0.859166,0.44,106.299089246801
"245",15,0,0.04,0.920931,0.58,107.066771219969
"246",15,0,0.06,0.963145,0.8,106.703984851324
"247",15,0,0.08,0.984637,0.9,107.110001432679
"248",15,0,0.1,0.994373,0.99,106.706086096569
"249",15,0,0.12,0.998079,1,106.567845345785
"250",15,0,0.14,0.999384,1,106.547952310005
"251",15,0,0.16,0.999784,1,107.094342593851
"252",15,0,0.18,0.999935,1,106.657447075787
"253",15,0,0.2,0.999819,1,105.987910808886
"254",15,0.02,0,0.760333,0.1,106.971946002596
"255",15,0.02,0.02,0.785372,0.22,106.299089246801
"256",15,0.02,0.04,0.849095,0.39,107.066771219969
"257",15,0.02,0.06,0.911644,0.57,106.703984851324
"258",15,0.02,0.08,0.958048,0.77,107.110001432679
"259",15,0.02,0.1,0.982277,0.88,106.706086096569
"260",15,0.02,0.12,0.993349,0.95,106.567845345785
"261",15,0.02,0.14,0.997641,1,106.547952310005
"262",15,0.02,0.16,0.999227,1,107.094342593851
"263",15,0.02,0.18,0.999753,1,106.657447075787
"264",15,0.02,0.2,0.99975,1,105.987910808886
"265",15,0.04,0,0.771978,0.09,106.971946002596
"266",15,0.04,0.02,0.758892,0.08,106.299089246801
"267",15,0.04,0.04,0.778941,0.22,107.066771219969
"268",15,0.04,0.06,0.838067,0.35,106.703984851324
"269",15,0.04,0.08,0.902489,0.56,107.110001432679
"270",15,0.04,0.1,0.95258,0.74,106.706086096569
