"","nc","delta1","delta2","pow","ess"
"233",54,0.2,0.02,1,49.9967469767653
"234",54,0.2,0.04,1,49.9042281443513
"235",54,0.2,0.06,1,49.4401461506805
"236",54,0.2,0.08,1,48.1961180771631
"237",54,0.2,0.1,1,45.7841353269138
"238",54,0.2,0.12,1,42.0342065654887
"239",54,0.2,0.14,1,37.1437908539651
"240",54,0.2,0.16,1,31.6373059225664
"241",54,0.2,0.18,1,26.1388392351641
"242",54,0.2,0.2,1,21.134333893978
"243",42,0,0,0,49.9986387680472
"244",42,0,0.02,0,49.998702373011
"245",42,0,0.04,0,49.9560836695446
"246",42,0,0.06,0,49.7194789689687
"247",42,0,0.08,0,49.0276571514168
"248",42,0,0.1,0,47.5653360475886
"249",42,0,0.12,0,45.0645163983712
"250",42,0,0.14,0,41.436797975085
"251",42,0,0.16,0,36.862939345246
"252",42,0,0.18,0,31.7580901211834
"253",42,0,0.2,0,26.6185851983319
"254",42,0.02,0,0,49.9986387680472
"255",42,0.02,0.02,0,49.998702373011
"256",42,0.02,0.04,0,49.9560836695446
"257",42,0.02,0.06,0,49.7194789689687
"258",42,0.02,0.08,0,49.0276571514168
"259",42,0.02,0.1,0,47.5653360475886
"260",42,0.02,0.12,0,45.0645163983712
"261",42,0.02,0.14,0,41.436797975085
"262",42,0.02,0.16,0,36.862939345246
"263",42,0.02,0.18,0,31.7580901211834
"264",42,0.02,0.2,0,26.6185851983319
"265",42,0.04,0,0.5,49.9986387680472
"266",42,0.04,0.02,0.1,49.998702373011
"267",42,0.04,0.04,0,49.9560836695446
"268",42,0.04,0.06,0,49.7194789689687
"269",42,0.04,0.08,0,49.0276571514168
"270",42,0.04,0.1,0,47.5653360475886
"271",42,0.04,0.12,0,45.0645163983712
"272",42,0.04,0.14,0,41.436797975085
"273",42,0.04,0.16,0,36.862939345246
"274",42,0.04,0.18,0,31.7580901211834
"275",42,0.04,0.2,0,26.6185851983319
"276",42,0.06,0,1,49.9986387680472
"277",42,0.06,0.02,1,49.998702373011
"278",42,0.06,0.04,0.9,49.9560836695446
"279",42,0.06,0.06,0.4,49.7194789689687
"280",42,0.06,0.08,0,49.0276571514168
"281",42,0.06,0.1,0,47.5653360475886
"282",42,0.06,0.12,0,45.0645163983712
"283",42,0.06,0.14,0,41.436797975085
"284",42,0.06,0.16,0,36.862939345246
"285",42,0.06,0.18,0,31.7580901211834
"286",42,0.06,0.2,0,26.6185851983319
"287",42,0.08,0,1,49.9986387680472
"288",42,0.08,0.02,1,49.998702373011
"289",42,0.08,0.04,1,49.9560836695446
"290",42,0.08,0.06,1,49.7194789689687
"291",42,0.08,0.08,1,49.0276571514168
"292",42,0.08,0.1,1,47.5653360475886
"293",42,0.08,0.12,0.4,45.0645163983712
"294",42,0.08,0.14,0.2,41.436797975085
"295",42,0.08,0.16,0,36.862939345246
"296",42,0.08,0.18,0,31.7580901211834
"297",42,0.08,0.2,0,26.6185851983319
"298",42,0.1,0,1,49.9986387680472
"299",42,0.1,0.02,1,49.998702373011
"300",42,0.1,0.04,1,49.9560836695446
"301",42,0.1,0.06,1,49.7194789689687
