"","nc","delta1","delta2","pow2","pow1","ess"
"83",5,0.14,0.1,0.959886,0.87,4.91248130952027
"84",5,0.14,0.12,0.959743,0.87,4.96624398298308
"85",5,0.14,0.14,0.960062,0.87,4.92200377431373
"86",5,0.14,0.16,0.960159,0.87,4.93140055070605
"87",5,0.14,0.18,0.960015,0.87,4.94380767975695
"88",5,0.14,0.2,0.959787,0.87,4.92517905466615
"89",5,0.16,0,0.974252,0.89,4.91399143928968
"90",5,0.16,0.02,0.97413,0.89,4.93599842184485
"91",5,0.16,0.04,0.974236,0.89,4.94688432642957
"92",5,0.16,0.06,0.974628,0.89,4.91320796509487
"93",5,0.16,0.08,0.974198,0.89,4.94114596519669
"94",5,0.16,0.1,0.974333,0.89,4.91248130952027
"95",5,0.16,0.12,0.974297,0.89,4.96624398298308
"96",5,0.16,0.14,0.974362,0.89,4.92200377431373
"97",5,0.16,0.16,0.974349,0.89,4.93140055070605
"98",5,0.16,0.18,0.974121,0.89,4.94380767975695
"99",5,0.16,0.2,0.974281,0.89,4.92517905466615
"100",5,0.18,0,0.988231,0.94,4.91399143928968
"101",5,0.18,0.02,0.988427,0.94,4.93599842184485
"102",5,0.18,0.04,0.988412,0.94,4.94688432642957
"103",5,0.18,0.06,0.988525,0.94,4.91320796509487
"104",5,0.18,0.08,0.988309,0.94,4.94114596519669
"105",5,0.18,0.1,0.988243,0.94,4.91248130952027
"106",5,0.18,0.12,0.988419,0.94,4.96624398298308
"107",5,0.18,0.14,0.988322,0.94,4.92200377431373
"108",5,0.18,0.16,0.988387,0.94,4.93140055070605
"109",5,0.18,0.18,0.98823,0.94,4.94380767975695
"110",5,0.18,0.2,0.988386,0.94,4.92517905466615
"111",5,0.2,0,0.995541,0.97,4.91399143928968
"112",5,0.2,0.02,0.995563,0.97,4.93599842184485
"113",5,0.2,0.04,0.995633,0.97,4.94688432642957
"114",5,0.2,0.06,0.995727,0.97,4.91320796509487
"115",5,0.2,0.08,0.995611,0.97,4.94114596519669
"116",5,0.2,0.1,0.995568,0.97,4.91248130952027
"117",5,0.2,0.12,0.995667,0.97,4.96624398298308
"118",5,0.2,0.14,0.995606,0.97,4.92200377431373
"119",5,0.2,0.16,0.995603,0.97,4.93140055070605
"120",5,0.2,0.18,0.995518,0.97,4.94380767975695
"121",5,0.2,0.2,0.995629,0.97,4.92517905466615
"122",10,0,0,0.82058,0.3,9.85005778807625
"123",10,0,0.02,0.820449,0.3,9.81881267972069
"124",10,0,0.04,0.821221,0.3,9.85726104391188
"125",10,0,0.06,0.821182,0.3,9.88291254684079
"126",10,0,0.08,0.820545,0.29,9.87843763737377
"127",10,0,0.1,0.820891,0.29,9.92773041919287
"128",10,0,0.12,0.8207,0.29,9.82176740881407
"129",10,0,0.14,0.821323,0.29,9.92451763276017
"130",10,0,0.16,0.820229,0.29,9.90265699464997
"131",10,0,0.18,0.820906,0.29,9.88445914988052
"132",10,0,0.2,0.820877,0.3,9.88328874589825
"133",10,0.02,0,0.830797,0.34,9.85005778807625
"134",10,0.02,0.02,0.831259,0.34,9.81881267972069
"135",10,0.02,0.04,0.830692,0.33,9.85726104391188
"136",10,0.02,0.06,0.831197,0.33,9.88291254684079
"137",10,0.02,0.08,0.830973,0.33,9.87843763737377
"138",10,0.02,0.1,0.831064,0.33,9.92773041919287
"139",10,0.02,0.12,0.830813,0.33,9.82176740881407
"140",10,0.02,0.14,0.831302,0.33,9.92451763276017
"141",10,0.02,0.16,0.830455,0.33,9.90265699464997
"142",10,0.02,0.18,0.830824,0.33,9.88445914988052
"143",10,0.02,0.2,0.831142,0.33,9.88328874589825
"144",10,0.04,0,0.851097,0.37,9.85005778807625
"145",10,0.04,0.02,0.851628,0.37,9.81881267972069
"146",10,0.04,0.04,0.850651,0.37,9.85726104391188
"147",10,0.04,0.06,0.851377,0.37,9.88291254684079
"148",10,0.04,0.08,0.851471,0.37,9.87843763737377
"149",10,0.04,0.1,0.850809,0.37,9.92773041919287
"150",10,0.04,0.12,0.851039,0.37,9.82176740881407
"151",10,0.04,0.14,0.851411,0.37,9.92451763276017
"152",10,0.04,0.16,0.85129,0.37,9.90265699464997
"153",10,0.04,0.18,0.851036,0.37,9.88445914988052
"154",10,0.04,0.2,0.851184,0.37,9.88328874589825
"155",10,0.06,0,0.874075,0.47,9.85005778807625
"156",10,0.06,0.02,0.874107,0.47,9.81881267972069
"157",10,0.06,0.04,0.873841,0.47,9.85726104391188
"158",10,0.06,0.06,0.874116,0.47,9.88291254684079
"159",10,0.06,0.08,0.874166,0.48,9.87843763737377
"160",10,0.06,0.1,0.873955,0.46,9.92773041919287
"161",10,0.06,0.12,0.87417,0.46,9.82176740881407
"162",10,0.06,0.14,0.874413,0.48,9.92451763276017
"163",10,0.06,0.16,0.874681,0.46,9.90265699464997
"164",10,0.06,0.18,0.874287,0.47,9.88445914988052
"165",10,0.06,0.2,0.87419,0.46,9.88328874589825
"166",10,0.08,0,0.90418,0.61,9.85005778807625
"167",10,0.08,0.02,0.903824,0.61,9.81881267972069
"168",10,0.08,0.04,0.904078,0.61,9.85726104391188
"169",10,0.08,0.06,0.903976,0.61,9.88291254684079
"170",10,0.08,0.08,0.903939,0.6,9.87843763737377
"171",10,0.08,0.1,0.90423,0.61,9.92773041919287
"172",10,0.08,0.12,0.904219,0.6,9.82176740881407
"173",10,0.08,0.14,0.903979,0.6,9.92451763276017
"174",10,0.08,0.16,0.904116,0.61,9.90265699464997
"175",10,0.08,0.18,0.904223,0.6,9.88445914988052
"176",10,0.08,0.2,0.904017,0.61,9.88328874589825
"177",10,0.1,0,0.940183,0.72,9.85005778807625
"178",10,0.1,0.02,0.940064,0.72,9.81881267972069
"179",10,0.1,0.04,0.940102,0.72,9.85726104391188
"180",10,0.1,0.06,0.939972,0.72,9.88291254684079
"181",10,0.1,0.08,0.940245,0.72,9.87843763737377
"182",10,0.1,0.1,0.940162,0.72,9.92773041919287
"183",10,0.1,0.12,0.93993,0.72,9.82176740881407
"184",10,0.1,0.14,0.939866,0.72,9.92451763276017
"185",10,0.1,0.16,0.940159,0.72,9.90265699464997
"186",10,0.1,0.18,0.940174,0.72,9.88445914988052
"187",10,0.1,0.2,0.940174,0.72,9.88328874589825
"188",10,0.12,0,0.960288,0.82,9.85005778807625
"189",10,0.12,0.02,0.960225,0.82,9.81881267972069
"190",10,0.12,0.04,0.960085,0.82,9.85726104391188
"191",10,0.12,0.06,0.9602,0.82,9.88291254684079
"192",10,0.12,0.08,0.960191,0.82,9.87843763737377
"193",10,0.12,0.1,0.960229,0.82,9.92773041919287
"194",10,0.12,0.12,0.960132,0.82,9.82176740881407
"195",10,0.12,0.14,0.960123,0.82,9.92451763276017
"196",10,0.12,0.16,0.960155,0.82,9.90265699464997
"197",10,0.12,0.18,0.960106,0.82,9.88445914988052
"198",10,0.12,0.2,0.960022,0.82,9.88328874589825
"199",10,0.14,0,0.979046,0.91,9.85005778807625
"200",10,0.14,0.02,0.978803,0.92,9.81881267972069
"201",10,0.14,0.04,0.978925,0.92,9.85726104391188
"202",10,0.14,0.06,0.978767,0.92,9.88291254684079
"203",10,0.14,0.08,0.978887,0.92,9.87843763737377
"204",10,0.14,0.1,0.978897,0.92,9.92773041919287
"205",10,0.14,0.12,0.979134,0.91,9.82176740881407
"206",10,0.14,0.14,0.978959,0.92,9.92451763276017
"207",10,0.14,0.16,0.97876,0.92,9.90265699464997
"208",10,0.14,0.18,0.978877,0.92,9.88445914988052
"209",10,0.14,0.2,0.978983,0.92,9.88328874589825
"210",10,0.16,0,0.991538,0.95,9.85005778807625
"211",10,0.16,0.02,0.991435,0.95,9.81881267972069
"212",10,0.16,0.04,0.991485,0.95,9.85726104391188
"213",10,0.16,0.06,0.99137,0.95,9.88291254684079
"214",10,0.16,0.08,0.991423,0.95,9.87843763737377
"215",10,0.16,0.1,0.991397,0.95,9.92773041919287
"216",10,0.16,0.12,0.991503,0.95,9.82176740881407
"217",10,0.16,0.14,0.99151,0.95,9.92451763276017
"218",10,0.16,0.16,0.99138,0.95,9.90265699464997
"219",10,0.16,0.18,0.991452,0.95,9.88445914988052
"220",10,0.16,0.2,0.991548,0.95,9.88328874589825
"221",10,0.18,0,0.99724,0.98,9.85005778807625
"222",10,0.18,0.02,0.997103,0.98,9.81881267972069
"223",10,0.18,0.04,0.997197,0.98,9.85726104391188
"224",10,0.18,0.06,0.997143,0.98,9.88291254684079
"225",10,0.18,0.08,0.99715,0.98,9.87843763737377
"226",10,0.18,0.1,0.997128,0.98,9.92773041919287
"227",10,0.18,0.12,0.997225,0.98,9.82176740881407
"228",10,0.18,0.14,0.997212,0.98,9.92451763276017
"229",10,0.18,0.16,0.99716,0.98,9.90265699464997
"230",10,0.18,0.18,0.997225,0.98,9.88445914988052
"231",10,0.18,0.2,0.997195,0.98,9.88328874589825
"232",10,0.2,0,0.999257,1,9.85005778807625
"233",10,0.2,0.02,0.999223,1,9.81881267972069
"234",10,0.2,0.04,0.999221,1,9.85726104391188
"235",10,0.2,0.06,0.99922,1,9.88291254684079
"236",10,0.2,0.08,0.999247,1,9.87843763737377
"237",10,0.2,0.1,0.999248,1,9.92773041919287
"238",10,0.2,0.12,0.999228,1,9.82176740881407
"239",10,0.2,0.14,0.999241,1,9.92451763276017
"240",10,0.2,0.16,0.99922,1,9.90265699464997
"241",10,0.2,0.18,0.999245,1,9.88445914988052
"242",10,0.2,0.2,0.999249,1,9.88328874589825
"243",15,0,0,0.823057,0.24,14.7945675120728
"244",15,0,0.02,0.822633,0.24,14.7551068680683
"245",15,0,0.04,0.823151,0.24,14.7823824939458
"246",15,0,0.06,0.822468,0.24,14.8241984498197
"247",15,0,0.08,0.822654,0.24,14.8904543164277
"248",15,0,0.1,0.823012,0.24,14.8420138530125
"249",15,0,0.12,0.822393,0.24,14.8117675530687
"250",15,0,0.14,0.823006,0.24,14.8635274244024
"251",15,0,0.16,0.822838,0.24,14.9197488052548
"252",15,0,0.18,0.822634,0.24,14.7535978953244
"253",15,0,0.2,0.822758,0.24,14.7856413004773
