"","nc","delta1","delta2","pow2","pow1","ess"
"120",5,0.2,0.18,0.694472,0.02,96.9521706410472
"121",5,0.2,0.2,0.720665,0.05,94.7383995142579
"122",10,0,0,0.771398,0.14,106.8178132198
"123",10,0,0.02,0.84711,0.3,107.487589003929
"124",10,0,0.04,0.915475,0.56,106.849682261785
"125",10,0,0.06,0.959403,0.75,106.672620577634
"126",10,0,0.08,0.982438,0.88,106.167694342432
"127",10,0,0.1,0.99308,0.98,105.226711628004
"128",10,0,0.12,0.99741,1,104.096813868815
"129",10,0,0.14,0.999112,1,102.314258784193
"130",10,0,0.16,0.999688,1,99.8200927113325
"131",10,0,0.18,0.999882,1,96.3001654554429
"132",10,0,0.2,0.999943,1,92.2595252254287
"133",10,0.02,0,0.719383,0.02,106.8178132198
"134",10,0.02,0.02,0.764492,0.13,107.487589003929
"135",10,0.02,0.04,0.83918,0.27,106.849682261785
"136",10,0.02,0.06,0.909496,0.56,106.672620577634
"137",10,0.02,0.08,0.955527,0.72,106.167694342432
"138",10,0.02,0.1,0.980627,0.87,105.226711628004
"139",10,0.02,0.12,0.992055,0.98,104.096813868815
"140",10,0.02,0.14,0.996925,1,102.314258784193
"141",10,0.02,0.16,0.998873,1,99.8200927113325
"142",10,0.02,0.18,0.999587,1,96.3001654554429
"143",10,0.02,0.2,0.999799,1,92.2595252254287
"144",10,0.04,0,0.720978,0.02,106.8178132198
"145",10,0.04,0.02,0.715794,0.02,107.487589003929
"146",10,0.04,0.04,0.757747,0.1,106.849682261785
"147",10,0.04,0.06,0.831655,0.25,106.672620577634
"148",10,0.04,0.08,0.902329,0.53,106.167694342432
"149",10,0.04,0.1,0.951402,0.71,105.226711628004
"150",10,0.04,0.12,0.978065,0.86,104.096813868815
"151",10,0.04,0.14,0.99068,0.96,102.314258784193
"152",10,0.04,0.16,0.996198,1,99.8200927113325
"153",10,0.04,0.18,0.998479,1,96.3001654554429
"154",10,0.04,0.2,0.999319,1,92.2595252254287
"155",10,0.06,0,0.771571,0.11,106.8178132198
"156",10,0.06,0.02,0.724077,0.02,107.487589003929
"157",10,0.06,0.04,0.712854,0.01,106.849682261785
"158",10,0.06,0.06,0.75158,0.09,106.672620577634
"159",10,0.06,0.08,0.822732,0.24,106.167694342432
"160",10,0.06,0.1,0.894876,0.45,105.226711628004
"161",10,0.06,0.12,0.946431,0.67,104.096813868815
"162",10,0.06,0.14,0.974838,0.85,102.314258784193
"163",10,0.06,0.16,0.98895,0.92,99.8200927113325
"164",10,0.06,0.18,0.995186,0.99,96.3001654554429
"165",10,0.06,0.2,0.997736,1,92.2595252254287
"166",10,0.08,0,0.855058,0.32,106.8178132198
"167",10,0.08,0.02,0.778965,0.13,107.487589003929
"168",10,0.08,0.04,0.727523,0.03,106.849682261785
"169",10,0.08,0.06,0.709893,0.01,106.672620577634
"170",10,0.08,0.08,0.745752,0.09,106.167694342432
"171",10,0.08,0.1,0.814025,0.23,105.226711628004
"172",10,0.08,0.12,0.886194,0.4,104.096813868815
"173",10,0.08,0.14,0.940165,0.64,102.314258784193
"174",10,0.08,0.16,0.97109,0.8,99.8200927113325
"175",10,0.08,0.18,0.986412,0.92,96.3001654554429
"176",10,0.08,0.2,0.993376,0.98,92.2595252254287
"177",10,0.1,0,0.928584,0.59,106.8178132198
"178",10,0.1,0.02,0.863167,0.35,107.487589003929
"179",10,0.1,0.04,0.785839,0.14,106.849682261785
"180",10,0.1,0.06,0.729896,0.04,106.672620577634
"181",10,0.1,0.08,0.708433,0.01,106.167694342432
"182",10,0.1,0.1,0.739794,0.08,105.226711628004
"183",10,0.1,0.12,0.804228,0.23,104.096813868815
"184",10,0.1,0.14,0.876212,0.39,102.314258784193
"185",10,0.1,0.16,0.932571,0.6,99.8200927113325
"186",10,0.1,0.18,0.96555,0.79,96.3001654554429
"187",10,0.1,0.2,0.982195,0.9,92.2595252254287
"188",10,0.12,0,0.970906,0.77,106.8178132198
"189",10,0.12,0.02,0.934079,0.61,107.487589003929
"190",10,0.12,0.04,0.870275,0.38,106.849682261785
"191",10,0.12,0.06,0.792643,0.16,106.672620577634
"192",10,0.12,0.08,0.734,0.05,106.167694342432
"193",10,0.12,0.1,0.706756,0.01,105.226711628004
"194",10,0.12,0.12,0.734621,0.07,104.096813868815
"195",10,0.12,0.14,0.79319,0.18,102.314258784193
"196",10,0.12,0.16,0.864544,0.34,99.8200927113325
"197",10,0.12,0.18,0.922947,0.58,96.3001654554429
"198",10,0.12,0.2,0.95766,0.73,92.2595252254287
"199",10,0.14,0,0.989794,0.95,106.8178132198
"200",10,0.14,0.02,0.973281,0.81,107.487589003929
"201",10,0.14,0.04,0.938677,0.64,106.849682261785
"202",10,0.14,0.06,0.877997,0.41,106.672620577634
"203",10,0.14,0.08,0.800629,0.19,106.167694342432
"204",10,0.14,0.1,0.739241,0.06,105.226711628004
"205",10,0.14,0.12,0.706939,0.01,104.096813868815
"206",10,0.14,0.14,0.728707,0.05,102.314258784193
"207",10,0.14,0.16,0.780551,0.15,99.8200927113325
"208",10,0.14,0.18,0.85172,0.3,96.3001654554429
"209",10,0.14,0.2,0.909416,0.53,92.2595252254287
"210",10,0.16,0,0.996997,1,106.8178132198
"211",10,0.16,0.02,0.990813,0.96,107.487589003929
"212",10,0.16,0.04,0.975734,0.81,106.849682261785
"213",10,0.16,0.06,0.943436,0.66,106.672620577634
"214",10,0.16,0.08,0.88545,0.43,106.167694342432
"215",10,0.16,0.1,0.809281,0.21,105.226711628004
"216",10,0.16,0.12,0.745227,0.07,104.096813868815
"217",10,0.16,0.14,0.707383,0,102.314258784193
"218",10,0.16,0.16,0.721238,0.04,99.8200927113325
"219",10,0.16,0.18,0.767154,0.15,96.3001654554429
"220",10,0.16,0.2,0.835655,0.24,92.2595252254287
"221",10,0.18,0,0.999284,1,106.8178132198
"222",10,0.18,0.02,0.997324,1,107.487589003929
"223",10,0.18,0.04,0.991745,0.96,106.849682261785
"224",10,0.18,0.06,0.977886,0.83,106.672620577634
"225",10,0.18,0.08,0.947883,0.67,106.167694342432
"226",10,0.18,0.1,0.892447,0.45,105.226711628004
"227",10,0.18,0.12,0.818311,0.25,104.096813868815
"228",10,0.18,0.14,0.751705,0.07,102.314258784193
"229",10,0.18,0.16,0.709402,0,99.8200927113325
"230",10,0.18,0.18,0.71458,0.03,96.3001654554429
"231",10,0.18,0.2,0.751665,0.12,92.2595252254287
"232",10,0.2,0,0.999863,1,106.8178132198
"233",10,0.2,0.02,0.999381,1,107.487589003929
"234",10,0.2,0.04,0.997605,1,106.849682261785
"235",10,0.2,0.06,0.992645,0.97,106.672620577634
"236",10,0.2,0.08,0.979968,0.87,106.167694342432
"237",10,0.2,0.1,0.951734,0.68,105.226711628004
"238",10,0.2,0.12,0.899914,0.48,104.096813868815
"239",10,0.2,0.14,0.827623,0.28,102.314258784193
"240",10,0.2,0.16,0.759095,0.07,99.8200927113325
"241",10,0.2,0.18,0.715141,0.02,96.3001654554429
"242",10,0.2,0.2,0.708858,0.02,92.2595252254287
"243",15,0,0,0.772124,0.18,112.098507205657
"244",15,0,0.02,0.839414,0.35,112.050727295847
"245",15,0,0.04,0.90403,0.49,111.604098739919
"246",15,0,0.06,0.950799,0.68,110.509473194935
"247",15,0,0.08,0.97711,0.84,110.224259833656
"248",15,0,0.1,0.990019,0.93,108.577298666126
"249",15,0,0.12,0.995823,1,106.420615972317
"250",15,0,0.14,0.998218,1,103.57028199018
"251",15,0,0.16,0.999169,1,99.6970465553138
"252",15,0,0.18,0.999464,1,94.6282606193417
"253",15,0,0.2,0.999594,1,89.1935030980051
"254",15,0.02,0,0.735724,0.05,112.098507205657
"255",15,0.02,0.02,0.764463,0.16,112.050727295847
"256",15,0.02,0.04,0.828627,0.31,111.604098739919
"257",15,0.02,0.06,0.893724,0.48,110.509473194935
"258",15,0.02,0.08,0.944142,0.64,110.224259833656
"259",15,0.02,0.1,0.972902,0.82,108.577298666126
"260",15,0.02,0.12,0.987475,0.9,106.420615972317
"261",15,0.02,0.14,0.994323,0.97,103.57028199018
"262",15,0.02,0.16,0.997311,0.99,99.6970465553138
"263",15,0.02,0.18,0.998451,0.99,94.6282606193417
"264",15,0.02,0.2,0.998874,0.99,89.1935030980051
"265",15,0.04,0,0.746035,0.05,112.098507205657
"266",15,0.04,0.02,0.734052,0.04,112.050727295847
"267",15,0.04,0.04,0.757069,0.13,111.604098739919
"268",15,0.04,0.06,0.817299,0.27,110.509473194935
"269",15,0.04,0.08,0.88294,0.44,110.224259833656
"270",15,0.04,0.1,0.936005,0.6,108.577298666126
"271",15,0.04,0.12,0.967302,0.8,106.420615972317
"272",15,0.04,0.14,0.983892,0.9,103.57028199018
"273",15,0.04,0.16,0.992063,0.96,99.6970465553138
"274",15,0.04,0.18,0.995511,0.98,94.6282606193417
"275",15,0.04,0.2,0.997103,0.99,89.1935030980051
"276",15,0.06,0,0.787007,0.17,112.098507205657
"277",15,0.06,0.02,0.751254,0.06,112.050727295847
"278",15,0.06,0.04,0.733294,0.04,111.604098739919
"279",15,0.06,0.06,0.749524,0.1,110.509473194935
"280",15,0.06,0.08,0.806077,0.25,110.224259833656
"281",15,0.06,0.1,0.870357,0.41,108.577298666126
"282",15,0.06,0.12,0.925893,0.58,106.420615972317
"283",15,0.06,0.14,0.960166,0.77,103.57028199018
"284",15,0.06,0.16,0.978908,0.89,99.6970465553138
"285",15,0.06,0.18,0.988174,0.91,94.6282606193417
"286",15,0.06,0.2,0.992533,0.97,89.1935030980051
