"","delta1","delta2","pow","ess"
"206",-0.1,0.6,0,172.24821571986
"207",-0.1,0.7,0,172.24821571986
"208",-0.1,0.8,0,172.24821571986
"209",-0.1,0.9,0,172.24821571986
"210",-0.1,1,0,172.24821571986
"211",0,-1,1,172.24821571986
"212",0,-0.9,1,172.24821571986
"213",0,-0.8,1,172.24821571986
"214",0,-0.7,1,172.24821571986
"215",0,-0.6,1,172.24821571986
"216",0,-0.5,0.86,172.24821571986
"217",0,-0.4,0.31,172.24821571986
"218",0,-0.3,0,172.24821571986
"219",0,-0.2,0,172.24821571986
"220",0,-0.1,0,172.24821571986
"221",0,0,0,172.24821571986
"222",0,0.1,0,172.24821571986
"223",0,0.2,0,172.24821571986
"224",0,0.3,0,172.24821571986
"225",0,0.4,0,172.24821571986
"226",0,0.5,0,172.24821571986
"227",0,0.6,0,172.24821571986
"228",0,0.7,0,172.24821571986
"229",0,0.8,0,172.24821571986
"230",0,0.9,0,172.24821571986
"231",0,1,0,172.24821571986
"232",0.1,-1,1,172.24821571986
"233",0.1,-0.9,1,172.24821571986
"234",0.1,-0.8,1,172.24821571986
"235",0.1,-0.7,1,172.24821571986
"236",0.1,-0.6,1,172.24821571986
"237",0.1,-0.5,1,172.24821571986
"238",0.1,-0.4,0.94,172.24821571986
"239",0.1,-0.3,0.52,172.24821571986
"240",0.1,-0.2,0.03,172.24821571986
"241",0.1,-0.1,0,172.24821571986
"242",0.1,0,0,172.24821571986
"243",0.1,0.1,0,172.24821571986
"244",0.1,0.2,0,172.24821571986
"245",0.1,0.3,0,172.24821571986
"246",0.1,0.4,0,172.24821571986
"247",0.1,0.5,0,172.24821571986
"248",0.1,0.6,0,172.24821571986
"249",0.1,0.7,0,172.24821571986
"250",0.1,0.8,0,172.24821571986
"251",0.1,0.9,0,172.24821571986
"252",0.1,1,0,172.24821571986
"253",0.2,-1,1,172.24821571986
"254",0.2,-0.9,1,172.24821571986
"255",0.2,-0.8,1,172.24821571986
"256",0.2,-0.7,1,172.24821571986
"257",0.2,-0.6,1,172.24821571986
"258",0.2,-0.5,1,172.24821571986
"259",0.2,-0.4,1,172.24821571986
"260",0.2,-0.3,1,172.24821571986
"261",0.2,-0.2,0.67,172.24821571986
"262",0.2,-0.1,0.1,172.24821571986
"263",0.2,0,0,172.24821571986
"264",0.2,0.1,0,172.24821571986
"265",0.2,0.2,0,172.24821571986
"266",0.2,0.3,0,172.24821571986
"267",0.2,0.4,0,172.24821571986
"268",0.2,0.5,0,172.24821571986
"269",0.2,0.6,0,172.24821571986
"270",0.2,0.7,0,172.24821571986
"271",0.2,0.8,0,172.24821571986
"272",0.2,0.9,0,172.24821571986
"273",0.2,1,0,172.24821571986
"274",0.3,-1,1,172.24821571986
"275",0.3,-0.9,1,172.24821571986
"276",0.3,-0.8,1,172.24821571986
"277",0.3,-0.7,1,172.24821571986
"278",0.3,-0.6,1,172.24821571986
"279",0.3,-0.5,1,172.24821571986
"280",0.3,-0.4,1,172.24821571986
"281",0.3,-0.3,1,172.24821571986
"282",0.3,-0.2,1,172.24821571986
"283",0.3,-0.1,0.84,172.24821571986
"284",0.3,0,0.25,172.24821571986
"285",0.3,0.1,0,172.24821571986
"286",0.3,0.2,0,172.24821571986
"287",0.3,0.3,0,172.24821571986
"288",0.3,0.4,0,172.24821571986
"289",0.3,0.5,0,172.24821571986
"290",0.3,0.6,0,172.24821571986
"291",0.3,0.7,0,172.24821571986
"292",0.3,0.8,0,172.24821571986
"293",0.3,0.9,0,172.24821571986
"294",0.3,1,0,172.24821571986
"295",0.4,-1,1,172.24821571986
"296",0.4,-0.9,1,172.24821571986
"297",0.4,-0.8,1,172.24821571986
"298",0.4,-0.7,1,172.24821571986
"299",0.4,-0.6,1,172.24821571986
"300",0.4,-0.5,1,172.24821571986
"301",0.4,-0.4,1,172.24821571986
"302",0.4,-0.3,1,172.24821571986
"303",0.4,-0.2,1,172.24821571986
"304",0.4,-0.1,1,172.24821571986
"305",0.4,0,0.93,172.24821571986
"306",0.4,0.1,0.48,172.24821571986
"307",0.4,0.2,0.01,172.24821571986
"308",0.4,0.3,0,172.24821571986
"309",0.4,0.4,0,172.24821571986
"310",0.4,0.5,0,172.24821571986
"311",0.4,0.6,0,172.24821571986
"312",0.4,0.7,0,172.24821571986
"313",0.4,0.8,0,172.24821571986
"314",0.4,0.9,0,172.24821571986
"315",0.4,1,0,172.24821571986
"316",0.5,-1,1,172.24821571986
"317",0.5,-0.9,1,172.24821571986
"318",0.5,-0.8,1,172.24821571986
"319",0.5,-0.7,1,172.24821571986
"320",0.5,-0.6,1,172.24821571986
"321",0.5,-0.5,1,172.24821571986
"322",0.5,-0.4,1,172.24821571986
"323",0.5,-0.3,1,172.24821571986
"324",0.5,-0.2,1,172.24821571986
"325",0.5,-0.1,1,172.24821571986
"326",0.5,0,1,172.24821571986
"327",0.5,0.1,1,172.24821571986
"328",0.5,0.2,0.64,172.24821571986
"329",0.5,0.3,0.07,172.24821571986
"330",0.5,0.4,0,172.24821571986
"331",0.5,0.5,0,172.24821571986
"332",0.5,0.6,0,172.24821571986
"333",0.5,0.7,0,172.24821571986
"334",0.5,0.8,0,172.24821571986
"335",0.5,0.9,0,172.24821571986
"336",0.5,1,0,172.24821571986
"337",0.6,-1,1,172.24821571986
"338",0.6,-0.9,1,172.24821571986
"339",0.6,-0.8,1,172.24821571986
"340",0.6,-0.7,1,172.24821571986
"341",0.6,-0.6,1,172.24821571986
"342",0.6,-0.5,1,172.24821571986
"343",0.6,-0.4,1,172.24821571986
"344",0.6,-0.3,1,172.24821571986
"345",0.6,-0.2,1,172.24821571986
"346",0.6,-0.1,1,172.24821571986
"347",0.6,0,1,172.24821571986
"348",0.6,0.1,1,172.24821571986
"349",0.6,0.2,1,172.24821571986
"350",0.6,0.3,0.76,172.24821571986
"351",0.6,0.4,0.17,172.24821571986
"352",0.6,0.5,0,172.24821571986
"353",0.6,0.6,0,172.24821571986
"354",0.6,0.7,0,172.24821571986
"355",0.6,0.8,0,172.24821571986
"356",0.6,0.9,0,172.24821571986
"357",0.6,1,0,172.24821571986
"358",0.7,-1,1,172.24821571986
"359",0.7,-0.9,1,172.24821571986
"360",0.7,-0.8,1,172.24821571986
"361",0.7,-0.7,1,172.24821571986
